,sentence1,sentence2,gold_label,result
292,The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.,entailment,entailment
293,The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The basketball player shoots a three pointer.,contradiction,contradiction
294,"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is enjoying a sporting event.,neutral,neutral
295,"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is dancing and singing.,contradiction,contradiction
296,"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is standing outdoors.,entailment,entailment
297,A girl holding a beverage points at a painting.,The girl is in the bathtub,contradiction,contradiction
298,A girl holding a beverage points at a painting.,The girl is drinking an alcoholic beverage.,neutral,neutral
299,A girl holding a beverage points at a painting.,The girl has a beverage.,entailment,entailment
300,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A man in a black shirt, in a commercial kitchen, holding up the old meat he took out of a bag.",neutral,neutral
301,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.",contradiction,contradiction
302,"A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.","A man in a shirt, in a commercial kitchen, holding up meat he took out of a bag.",entailment,entailment
303,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is swimming in the Olympics.,contradiction,contradiction
304,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is moving grass on a John Deer motor.,neutral,contradiction
305,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is cutting the grass on a riding mower,entailment,entailment
306,Group of people wearing black shirts riding in an open top vehicle.,A group of people go down the road in a convertible.,entailment,neutral
307,Group of people wearing black shirts riding in an open top vehicle.,The driver was wearing a purple shirt.,contradiction,neutral
308,Group of people wearing black shirts riding in an open top vehicle.,Froends ride in an open top vehicle together.,neutral,entailment
309,Two men prepare a fish at a dock.,Two men have just come in from fishing all day,neutral,contradiction
310,Two men prepare a fish at a dock.,Two men are cleaning their fish,entailment,entailment
311,Two men prepare a fish at a dock.,Two men are sitting in a canoe with their fishing poles,contradiction,contradiction
312,A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.,The woman is a model.,neutral,neutral
313,A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.,The woman has something on her face.,entailment,entailment
314,A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.,The woman is blind.,contradiction,contradiction
315,A man in an Alaska sweatshirt stands behind a counter.,The man is wearing a tank top.,contradiction,contradiction
316,A man in an Alaska sweatshirt stands behind a counter.,The man is from Alaska.,neutral,neutral
317,A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,entailment,entailment
318,A large group of people walking in a busy city at night.,People are eating lunch in a restaurant.,contradiction,contradiction
319,A large group of people walking in a busy city at night.,People are walking a city.,entailment,entailment
320,A large group of people walking in a busy city at night.,People are outside in a park.,contradiction,contradiction
321,"A woman, in red and white, and wearing glasses, sits in a room with other people.",A woman is sitting in a room with other people.,entailment,entailment
322,"A woman, in red and white, and wearing glasses, sits in a room with other people.",A woman is on her phone sitting in a room.,neutral,neutral
323,"A woman, in red and white, and wearing glasses, sits in a room with other people.",A man is fixing his car.,contradiction,contradiction
324,A softball player throws the ball to her teammate.,Teammates are competing in a softballs championship.,neutral,neutral
325,A softball player throws the ball to her teammate.,Two people are playing softball.,entailment,entailment
326,A softball player throws the ball to her teammate.,Two softball players are sitting on a bench.,contradiction,neutral
327,A biker races.,A person is riding a bike,entailment,entailment
328,A biker races.,The biker loses the race,neutral,contradiction
329,A biker races.,The car is yellow,contradiction,contradiction
330,Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,There are two little boys smiling.,entailment,entailment
331,Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,contradiction
332,Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The boys are siblings playing with each other.,neutral,neutral
333,Island native fishermen reeling in their nets after a long day's work.,The men caught many fish.,neutral,neutral
334,Island native fishermen reeling in their nets after a long day's work.,The men did not go to work today but instead played bridge.,contradiction,contradiction
335,Island native fishermen reeling in their nets after a long day's work.,The men are finishing their day of work.,entailment,entailment
336,These are young adults who seem to be working together to protect the plants surrounding the white pole.,The plants are ferns,neutral,neutral
337,These are young adults who seem to be working together to protect the plants surrounding the white pole.,The adults are young,entailment,entailment
338,These are young adults who seem to be working together to protect the plants surrounding the white pole.,The adults are old,contradiction,contradiction
339,"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.",Two teams from rival colleges are in the fourth quarter of a game.,neutral,neutral
340,"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.",Some girls playing basketball.,contradiction,contradiction
341,"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.",A college football game.,entailment,entailment
342,Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A lineman is trying to tackle the quarterback before he makes the game winning touchdown.,neutral,neutral
343,Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A pitcher throws the baseball to the batter as he attempts to hit it out of the park.,contradiction,contradiction
344,Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,entailment
345,A man playing billiards at a bar.,A man is playing with friends.,neutral,neutral
346,A man playing billiards at a bar.,A man is playing billiards.,entailment,entailment
347,A man playing billiards at a bar.,A man is playing checkers.,contradiction,contradiction
348,A golden dog passes a blue ball to another golden dog on the beach.,The dogs are friends.,neutral,neutral
349,A golden dog passes a blue ball to another golden dog on the beach.,The dogs are refusing to share.,contradiction,contradiction
350,A golden dog passes a blue ball to another golden dog on the beach.,The golden dog is playing ball with another dog outside.,entailment,entailment
351,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,The people are going up on the escalator.,neutral,entailment
352,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are taking the elevator.,contradiction,contradiction
353,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are riding on the escalator.,entailment,entailment
354,A woman is weaving with a comb in her hand.,A woman is at work.,neutral,entailment
355,A woman is weaving with a comb in her hand.,A woman is doing something with her hands.,entailment,entailment
356,A woman is weaving with a comb in her hand.,A woman is sitting with empty hands.,contradiction,contradiction
357,A boy is riding down the road between two cows.,A boy rides a horse by two cows.,neutral,neutral
358,A boy is riding down the road between two cows.,"A boy, a road and two cows.",entailment,entailment
359,A boy is riding down the road between two cows.,A single cow is alone.,contradiction,contradiction
360,A birthday party for many little people to enjoy.,Children enjoying a birthday party.,neutral,entailment
361,A birthday party for many little people to enjoy.,Children are running down the street.,contradiction,neutral
362,A birthday party for many little people to enjoy.,Children at a birthday party.,neutral,entailment
363,"There are five singers on a stage, three women and two men.",There are more females than males.,entailment,neutral
364,"There are five singers on a stage, three women and two men.",The performers are playing bagpipes.,contradiction,contradiction
365,"There are five singers on a stage, three women and two men.",The people performing are part of a chorus.,neutral,entailment
366,Two men are standing in a boat.,Some men are standing on top of a car.,contradiction,contradiction
367,Two men are standing in a boat.,A few men are fishing on a boat.,neutral,neutral
368,Two men are standing in a boat.,Some people are in a boat.,entailment,entailment
369,Young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit.,A person drying clothes,entailment,entailment
370,Young woman is putting her clothes in the dryer portion of a double stacked washer and dryer unit.,Nobody is drying clothes.,contradiction,contradiction
372,The sun breaks through the trees as a child rides a swing.,The child is riding a swing in the rain.,contradiction,contradiction
373,The sun breaks through the trees as a child rides a swing.,A child rides a swing in the daytime.,entailment,entailment
374,The sun breaks through the trees as a child rides a swing.,The child on the swing is a girl.,neutral,neutral
375,Everyone on the street in the city seem to be busy doing their own thing.,People are milling about the city street.,entailment,entailment
376,Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,contradiction,contradiction
377,Everyone on the street in the city seem to be busy doing their own thing.,People are conducting business in the city.,entailment,entailment
378,A man in an apron smiles as he pokes a frying donut with a little metal stick.,The man is cooking food.,entailment,entailment
379,A man in an apron smiles as he pokes a frying donut with a little metal stick.,The man is in the kitchen of a restaurant.,neutral,neutral
380,A man in an apron smiles as he pokes a frying donut with a little metal stick.,The man is washing his car.,contradiction,contradiction
381,A woman in tennis clothes running to hit a ball with her tennis racket.,A woman plays tennis.,entailment,entailment
382,A woman in tennis clothes running to hit a ball with her tennis racket.,Serina Williams plays tennis.,neutral,neutral
383,A woman in tennis clothes running to hit a ball with her tennis racket.,Pete Sampras plays tennis.,contradiction,neutral
384,Several women are playing volleyball.,They women are hitting a ball with their arms,entailment,neutral
385,Several women are playing volleyball.,This doesn't look like soccer,entailment,neutral
386,Several women are playing volleyball.,A bunch of women are playing volleyball,entailment,entailment
387,Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,volleyball match is in progress between ladies,entailment,entailment
388,Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,12 ladies play volleyball,neutral,neutral
389,Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,ten boys play cricket,contradiction,contradiction
390,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,A mother and her son ride bikes with others down a street.,neutral,entailment
391,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,A group of people are changing a bike tire.,contradiction,contradiction
392,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,A group of people ride bikes together down a street.,entailment,entailment
393,"People are riding bicycles in the street, and they are all wearing helmets.","A group of friends are biking through a street, all wearing their helmets",neutral,neutral
394,"People are riding bicycles in the street, and they are all wearing helmets.","A group of friends are grabbing their bikes, getting ready for the morning bike ride",contradiction,neutral
395,"People are riding bicycles in the street, and they are all wearing helmets.",A group of bicyclists are on a street outside,entailment,neutral
396,A middle eastern marketplace.,A middle easten store.,entailment,entailment
397,A middle eastern marketplace.,An American theater.,contradiction,contradiction
398,A middle eastern marketplace.,A foreign store.,entailment,entailment
399,a woman in a black shirt looking at a bicycle.,A woman sees a bicycle.,entailment,entailment
400,a woman in a black shirt looking at a bicycle.,A woman dressed in black shops for a bicycle.,neutral,contradiction
401,a woman in a black shirt looking at a bicycle.,A woman in green sleeps on a couch.,contradiction,contradiction
402,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,the men are musicians,entailment,neutral
403,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,the men are asleep in the motel,contradiction,contradiction
404,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,four men play drums,entailment,entailment
405,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,Young boys throwing a baseball at a baseball field.,contradiction,contradiction
406,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,Young boys waiting for their soccer game.,neutral,contradiction
407,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,Young boys kicking around a soccer ball.,entailment,entailment
408,A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose.,The man is testing the bike.,neutral,neutral
409,A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose.,The man is driving a truck.,contradiction,contradiction
410,A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose.,The man is riding a bike.,entailment,entailment
411,A guy and a girl look down a mountain range.,The people look at the mountains.,entailment,entailment
412,A guy and a girl look down a mountain range.,The couple is going to climb the mountains.,neutral,neutral
413,A guy and a girl look down a mountain range.,The people look into the sky.,contradiction,contradiction
414,"A man is sitting in the green chair, talking on the phone, and working on the laptop, and there is construction site next to his building.",The man is pacing nervously.,contradiction,contradiction
415,"A man is sitting in the green chair, talking on the phone, and working on the laptop, and there is construction site next to his building.",The man can hear the construction going on.,neutral,neutral
416,"A man is sitting in the green chair, talking on the phone, and working on the laptop, and there is construction site next to his building.",A man can is on the phone.,entailment,entailment
417,A boy hits a tennis ball on a court.,A girl is hitting the ball.,contradiction,contradiction
418,A boy hits a tennis ball on a court.,The boy is good at tennis.,neutral,neutral
419,A boy hits a tennis ball on a court.,A boy is hitting a ball.,entailment,entailment
420,A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,neutral
421,A golden retriever nurses puppies.,Puppies next to their mother,entailment,entailment
422,A golden retriever nurses puppies.,A cat nurses puppies,contradiction,contradiction
423,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,The young man is at his grandmothers house.,neutral,contradiction
424,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,The railing is in front of a frozen lake.,neutral,contradiction
425,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,The man spreads his arms while standing in front of a railing.,entailment,entailment
426,A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,neutral
427,A black man wearing a down jacket with his arms spread and holding a pink comb.,Someone wearing a cotton shirt was looking at a green hair comb.,contradiction,contradiction
428,A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket while holding a comb.,entailment,entailment
429,A man in a brown jacket stands with his arms spread.,The man pleads for mercy.,neutral,neutral
430,A man in a brown jacket stands with his arms spread.,The man is upright.,entailment,entailment
431,A man in a brown jacket stands with his arms spread.,The man sits crosslegged on the floor.,contradiction,contradiction
432,A man wearing a red vest is walking past a black and green fence.,The man wearing the vest is walking down the street.,neutral,contradiction
433,A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,entailment
434,A man wearing a red vest is walking past a black and green fence.,The man wearing the vest is sitting on the sofa.,contradiction,contradiction
435,These girls are having a great time looking for seashells.,The girls are happy.,entailment,entailment
436,These girls are having a great time looking for seashells.,The girls are taking a nap.,contradiction,contradiction
437,These girls are having a great time looking for seashells.,The girls are outside.,entailment,entailment
438,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is playing an instrument on the street near other people.,entailment,entailment
439,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,neutral,neutral
440,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A woman is flying crosscountry.,contradiction,contradiction
441,A standing man talks to a seated woman while on some sort of vehicle.,Two people are talking.,entailment,entailment
442,A standing man talks to a seated woman while on some sort of vehicle.,Three people are having a meeting.,contradiction,neutral
443,A standing man talks to a seated woman while on some sort of vehicle.,Two people are discussing their relationship.,neutral,neutral
444,"A young boy with close-cropped hair, wearing a red robe, is holding a black kettle as someone is about to pour something in it.",a small boy runs through the corn field,contradiction,contradiction
445,"A young boy with close-cropped hair, wearing a red robe, is holding a black kettle as someone is about to pour something in it.",a small boy holds a kettle that will soon be filled with salsa,neutral,neutral
446,"A young boy with close-cropped hair, wearing a red robe, is holding a black kettle as someone is about to pour something in it.",a small boy is holding a kettle that will soon be filled,entailment,entailment
447,Four people and a baby are crossing the street at a crosswalk.,People and a baby riding the bus.,contradiction,contradiction
448,Four people and a baby are crossing the street at a crosswalk.,People and a baby crossing the street.,entailment,entailment
449,Four people and a baby are crossing the street at a crosswalk.,People and a baby are crossing the street at a crosswalk to get home.,neutral,neutral
450,Two woman wearing dresses are standing outside on the grass while one of them is holding a cup and saucer.,Two people are standing on the grass.,entailment,entailment
451,Two woman wearing dresses are standing outside on the grass while one of them is holding a cup and saucer.,Two women in dresses are getting ready for the picnic.,neutral,neutral
452,Two woman wearing dresses are standing outside on the grass while one of them is holding a cup and saucer.,"The women are having a conversation at the office,",contradiction,contradiction
453,A woman leans over a small fence to take a picture of a yellow flower.,The woman is a professional photographer,neutral,neutral
454,A woman leans over a small fence to take a picture of a yellow flower.,The flower is blue,contradiction,contradiction
455,A woman leans over a small fence to take a picture of a yellow flower.,A woman is taking pictures,entailment,entailment
456,"A group of four children pose on a muddy beach, smiling and making faces.",Four kids pose on a beach.,entailment,entailment
457,"A group of four children pose on a muddy beach, smiling and making faces.",Four kids pose during summer vacation.,neutral,neutral
458,"A group of four children pose on a muddy beach, smiling and making faces.",A man stirs the stew.,contradiction,neutral
459,Several men at a bar watch a sports game on the television.,Some men are watching TV at a bar.,entailment,entailment
460,Several men at a bar watch a sports game on the television.,There are men drinking beer at a sports bar.,neutral,neutral
461,Several men at a bar watch a sports game on the television.,The men are at a baseball game.,contradiction,neutral
462,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background",Two men are wearing lime green jackets.,entailment,entailment
463,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background",Two men are placing construction cones in preparation of a new pipeline building.,neutral,neutral
464,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background",A woman chastises another.,contradiction,neutral
465,"A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall, and the sun shines through a large window near her.",An artist relaxes in her studio.,neutral,entailment
466,"A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall, and the sun shines through a large window near her.",There is a person in a room.,entailment,entailment
467,"A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall, and the sun shines through a large window near her.",A woman is asleep while moonlight filters in the window.,contradiction,contradiction
468,Children in yellow sports uniforms climbing a tower.,The children are martial arts students.,neutral,neutral
469,Children in yellow sports uniforms climbing a tower.,The kids crawl in sand.,contradiction,contradiction
470,Children in yellow sports uniforms climbing a tower.,Children in uniforms climb a tower.,entailment,entailment
471,Some dogs are running on a deserted beach.,They are in Hawaii.,neutral,neutral
472,Some dogs are running on a deserted beach.,There is only one dog at the beach.,contradiction,contradiction
473,Some dogs are running on a deserted beach.,There are multiple dogs present.,entailment,entailment
474,A crowded city street with lots of pedestrians.,There alot of motorcyclists on this road.,neutral,contradiction
475,A crowded city street with lots of pedestrians.,There are many pedestrians on the city street.,entailment,entailment
476,A crowded city street with lots of pedestrians.,The pedistrians are waiting for a parade to come through this busy street.,neutral,neutral
477,A woman wearing a bright orange blouse is weaving.,A woman is wearing a bright orange blouse and a green hat.,neutral,neutral
478,A woman wearing a bright orange blouse is weaving.,A woman is ironing red pants.,contradiction,contradiction
479,A woman wearing a bright orange blouse is weaving.,A woman is weaving.,entailment,entailment
480,A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are inside watching a hockey game.,contradiction,contradiction
481,A group of people are in a rowboat in the ocean surrounded by seagulls.,A bunch of people are in a wooden object on the water.,neutral,entailment
482,A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.,neutral,neutral
483,A woman in a brown shirt is kneeling in the street.,A woman is protesting in the street.,neutral,neutral
484,A woman in a brown shirt is kneeling in the street.,A woman is on the ground outside.,entailment,entailment
485,A woman in a brown shirt is kneeling in the street.,A woman is riding a bicycle.,contradiction,contradiction
486,A man holding a baby who is petting a pony.,A man who kidnap a baby is petting a pony.,neutral,contradiction
487,A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,entailment,entailment
488,A man holding a baby who is petting a pony.,A man and his daughter are petting a pony.,neutral,contradiction
489,Men sitting on the side of a brick road.,me are sitting on the side of a road,entailment,contradiction
490,Men sitting on the side of a brick road.,the side of the road is empty.,contradiction,contradiction
491,Men sitting on the side of a brick road.,men are talking on the side of the road,neutral,neutral
492,A black dog with a blue collar is jumping into the water.,A dog is going to get wet.,entailment,entailment
493,A black dog with a blue collar is jumping into the water.,A black dog wearing a blue collar is chasing something into the water.,neutral,neutral
494,A black dog with a blue collar is jumping into the water.,A dog is avoiding the water.,contradiction,contradiction
495,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,A girl is standing.,entailment,entailment
496,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,A girl is standing outside.,neutral,entailment
497,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,Everyone is sitting.,contradiction,contradiction
498,many children play in the water.,The children are at camp.,neutral,contradiction
499,many children play in the water.,Some kids splash in the water and interact with each other.,neutral,neutral
